doc	sentence
BR-TU.21405	Relevantes nos campos de Albacora, Bagre, Cherne, Namorado e Viola (ANP, 2007; 2015b, c, d; 2016a), os arenitos turbidíticos da Formação Namorado hospedam cerca de 2019 MMBL de volume in place (BRUHN et al. 2003).
BR-TU.21101	Os ensaios foram realizados em uma célula PVT de visor longo, normalmente utilizada nas análises PVT de gás condensado (foto 1).
BR-BG.04099	Somente em dois poços do Campo de Marlim dispunha-se do registro completo da forma da onda, adquiridos da ferramenta SDT (sônico digital).
BR-BG.04274	Tais diferenças consistem na menor ocorrência de anomalias sísmicas de amplitude relacionadas a turbiditos oligocênicos tipo Marlim e Albacora, ao passo que surge uma multiplicidade de prospectos envolvendo reservatórios mais antigos, os quais oferecem excelentes possibilidades de ocorrência de hidrocarbonetos.
BR-BT.05169	Antes de sua transferência para a célula de volume variável ou célula PVT, as amostras em estado bifásico devem ser homogeneizadas com injeção de mercúrio, agitando-se a garrafa a uma pressão de 800 a 1 000 psi acima da pressão de saturação.
BR-BG.03967	Foi desenvolvido um modelo de craqueamento primário e secundário, com descrição de classes de compostos do tipo PVT, visando calibrar a composição e as propriedades do petróleo (densidade, grau API, RGO, Psat).
BR-BT.05202	Enfim, com o material aproveitado, espera-se dar uma idéia dos tipos das Águas de Formação do Recôncavo Baiano; idéia apenas, pois o MATERIAL coletado, só é suficiente para isto, se bem que as análises da Água de poços do campo de D. João, em comparação com os outros campos, já estejam em bem maior quantidade.
BR-BT.05122	Na tabela III são apresentadas análises de água do mar, da água de formação original do campo de D. João e análises de água do mar modificada após a injeção por mistura com a água de formação e após ter sido submetida aos processos químicos e bioquímicos que se podem processar na jazida.
BR-BT.05070	Antes de analisar as possíveis interações, é interessante e oportuno lembrar que, anteriormente à injeção de água do mar no campo de D. João, estudos de compatibilidade entre a água de injeção e a água da jazida foram empreendidos, não resultando sinais de incompatibilidade.
BR-BT.04378	Êste amplo sistema de injeção de água e mais a construção da nova estação de tratamento e injeção de água, de Dom João, deverão entrar em funcionamento em fins de 1967 e princípios de 1968.
BR-BT.04779	Sobreposto ao Andar Dom João, em escala regional, repousam os Andares Rio da Serra, Aratu, Buracica e Jequiá, todos da Série do Recôncavo, e sem amarração com a coluna internacional, por se tratarem de sedimentos não-marinhos.
BR-BT.04872	A cimentação é do tipo franja prismática e foi parcial, permitindo a preservação de alguma porosidade original. 
BR-BG.03866	Portanto, rochas carbonáticas constituem os reservatórios dos maiores campos petrolíferos do mundo, abrangendo uma variada gama de fácies deposicionais e um complexo meio poroso.
BR-BG.03782	Os processos de preservação e de geração de porosidade em reservatórios carbonáticos profundos são especificamente discutidos por Spadini (1990, neste volume).
BR-BT.04779	Próximo à borda da bacia e justapostos aos evaporitos, os calcários são dolomitizados, com textura sacaróide e boa porosidade secundária, e localmente silicificados (Fig. 6).
BR-TU.20631	No poço, medidas de perfil de velocidade, densidade, resistividade são todas relacionadas a uma propriedade em especial, a porosidade.
